Product,Year,Month,State,District,Latitude,Longitude,Volume
NFS,2021,July,Andaman & Nicobar Islands,South Andaman,11.8311681,92.6586401,0.13
NFS,2021,July,Andaman & Nicobar Islands,North And Middle Andaman,12.6518832,92.8976254,0.01
NFS,2021,July,Andaman & Nicobar Islands,Nicobar,8.0011561,93.3227132,0.01
NFS,2021,July,Andhra Pradesh,Visakhapatnam,17.6868159,83.2184815,2.45
NFS,2021,July,Andhra Pradesh,Krishna,16.6099914,80.7214417,1.85
NFS,2021,July,Andhra Pradesh,Chittoor,13.217176,79.1003289,1.83
NFS,2021,July,Andhra Pradesh,East Godavari,17.32125,82.0407137,1.67
NFS,2021,July,Andhra Pradesh,Guntur,16.3066525,80.4365402,1.65
NFS,2021,July,Andhra Pradesh,Rest of locations,15.9128998,79.7399875,7.43
NFS,2021,July,Arunachal Pradesh,Papum Pare,27.1719019,93.7029002,0.12
NFS,2021,July,Arunachal Pradesh,East Siang,28.1097051,95.1432068,0.03
NFS,2021,July,Arunachal Pradesh,Lower Subansiri,27.6169349,93.8391556999999,0.03
NFS,2021,July,Arunachal Pradesh,Upper Subansiri,27.786802,94.3359634999999,0.02
NFS,2021,July,Arunachal Pradesh,Lohit,27.9039651,96.1739116,0.02
NFS,2021,July,Arunachal Pradesh,Rest of locations,28.2179994,94.7277528,0.09
NFS,2021,July,Assam,Kamrup,26.3160819,91.5983959,1.56
NFS,2021,July,Assam,Cachar,24.7821253,92.8577105,0.46
NFS,2021,July,Assam,Dibrugarh,27.4728327,94.9119621,0.37
NFS,2021,July,Assam,Nagaon,26.348009,92.6838111,0.33
NFS,2021,July,Assam,Tinsukia,27.4885539,95.355758,0.3
NFS,2021,July,Assam,Rest of locations,26.49462,92.894335,3.35
NFS,2021,July,Bihar,Patna,25.5940947,85.1375645,2.07
NFS,2021,July,Bihar,Muzaffarpur,26.1196607,85.390982,0.8
NFS,2021,July,Bihar,West Champaran,27.1543104,84.3542049,0.6
NFS,2021,July,Bihar,East Champaran,26.6098139,84.8567932,0.59
NFS,2021,July,Bihar,Saran,25.8559698,84.8567932,0.56
NFS,2021,July,Bihar,Rest of locations,24.8455266,85.1476264,9.07
NFS,2021,July,Chandigarh,Chandigarh,30.7333148,76.7794179,0.92
NFS,2021,July,Chattisgarh,Raipur,21.2513844,81.6296413,1.57
